 # Tue Oct  7 16:24:29 2014
 # MMHT 2014 LO PDF grid for central fit.
 # distance(t),tolerance(T) =    0.0000000000000000        0.0000000000000000     
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.58831
 # alphaS(MZ) = 0.13500
 # alphaSorder,alphaSnfmax = 0, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  1.2412E+01  8.0002E-01  8.0234E-01  4.4441E-01  0.0000E+00  0.0000E+00  3.6327E-03  5.9943E-03 -8.6336E-07
  1.7036E+01  8.6679E-01  8.6918E-01  5.1286E-01  0.0000E+00  0.0000E+00  3.7003E-03  6.1413E-03 -1.0046E-06
  2.1673E+01  9.3455E-01  9.3700E-01  5.8188E-01  0.0000E+00  0.0000E+00  3.7525E-03  6.2549E-03 -1.1258E-06
  2.9922E+01  1.0579E+00  1.0605E+00  7.0698E-01  0.0000E+00  0.0000E+00  3.8246E-03  6.4123E-03 -1.3113E-06
  2.9922E+01  1.0579E+00  1.0605E+00  7.0698E-01  3.4288E-07  0.0000E+00  3.8246E-03  6.4123E-03 -1.3113E-06
  3.8854E+01  1.1982E+00  1.2008E+00  8.4867E-01  1.5229E-01  0.0000E+00  3.8865E-03  6.5475E-03 -1.4881E-06
  4.9416E+01  1.3694E+00  1.3720E+00  1.0212E+00  3.2958E-01  0.0000E+00  3.9463E-03  6.6783E-03 -1.6745E-06
  6.0276E+01  1.5505E+00  1.5532E+00  1.2034E+00  5.1583E-01  0.0000E+00  3.9979E-03  6.7915E-03 -1.8484E-06
  7.2369E+01  1.7575E+00  1.7603E+00  1.4116E+00  7.2778E-01  0.0000E+00  4.0476E-03  6.9004E-03 -2.0268E-06
  8.7155E+01  2.0177E+00  2.0206E+00  1.6729E+00  9.9306E-01  0.0000E+00  4.1004E-03  7.0164E-03 -2.2291E-06
  1.0173E+02  2.2810E+00  2.2839E+00  1.9371E+00  1.2606E+00  0.0000E+00  4.1464E-03  7.1175E-03 -2.4157E-06
  1.1749E+02  2.5724E+00  2.5754E+00  2.2294E+00  1.5561E+00  0.0000E+00  4.1909E-03  7.2154E-03 -2.6058E-06
  1.3117E+02  2.8305E+00  2.8335E+00  2.4882E+00  1.8174E+00  0.0000E+00  4.2263E-03  7.2931E-03 -2.7633E-06
  1.8383E+02  3.8630E+00  3.8661E+00  3.5230E+00  2.8601E+00  0.0000E+00  4.3421E-03  7.5481E-03 -3.3218E-06
  1.8383E+02  3.8630E+00  3.8661E+00  3.5230E+00  2.8601E+00  1.0294E-07  4.3421E-03  7.5481E-03 -3.3218E-06
  1.9659E+02  4.1257E+00  4.1289E+00  3.7863E+00  3.1250E+00  3.1289E-01  4.3670E-03  7.6028E-03 -3.4502E-06
  2.3705E+02  4.9859E+00  4.9892E+00  4.6479E+00  3.9913E+00  1.2095E+00  4.4401E-03  7.7640E-03 -3.8453E-06
  2.8493E+02  6.0345E+00  6.0379E+00  5.6979E+00  5.0461E+00  2.2985E+00  4.5165E-03  7.9323E-03 -4.2859E-06
  3.3372E+02  7.1338E+00  7.1372E+00  6.7984E+00  6.1509E+00  3.4335E+00  4.5861E-03  8.0855E-03 -4.7121E-06
  3.8831E+02  8.3965E+00  8.4000E+00  8.0624E+00  7.4190E+00  4.7313E+00  4.6565E-03  8.2406E-03 -5.1678E-06
  4.3781E+02  9.5685E+00  9.5721E+00  9.2354E+00  8.5954E+00  5.9318E+00  4.7151E-03  8.3697E-03 -5.5659E-06
  5.0319E+02  1.1153E+01  1.1157E+01  1.0821E+01  1.0185E+01  7.5500E+00  4.7864E-03  8.5268E-03 -6.0733E-06
  5.6595E+02  1.2709E+01  1.2713E+01  1.2378E+01  1.1746E+01  9.1352E+00  4.8497E-03  8.6661E-03 -6.5446E-06
  6.2764E+02  1.4269E+01  1.4273E+01  1.3940E+01  1.3310E+01  1.0722E+01  4.9080E-03  8.7943E-03 -6.9955E-06
  7.1184E+02  1.6446E+01  1.6449E+01  1.6117E+01  1.5491E+01  1.2930E+01  4.9821E-03  8.9574E-03 -7.5941E-06
  7.9705E+02  1.8697E+01  1.8701E+01  1.8369E+01  1.7748E+01  1.5211E+01  5.0521E-03  9.1113E-03 -8.1837E-06
  8.8234E+02  2.0997E+01  2.1001E+01  2.0670E+01  2.0051E+01  1.7538E+01  5.1180E-03  9.2560E-03 -8.7601E-06
  9.7290E+02  2.3485E+01  2.3489E+01  2.3160E+01  2.2544E+01  2.0053E+01  5.1841E-03  9.4011E-03 -9.3596E-06
  1.0667E+03  2.6109E+01  2.6113E+01  2.5785E+01  2.5172E+01  2.2703E+01  5.2491E-03  9.5436E-03 -9.9689E-06
  1.1604E+03  2.8778E+01  2.8782E+01  2.8454E+01  2.7844E+01  2.5395E+01  5.3109E-03  9.6790E-03 -1.0567E-05
  1.2528E+03  3.1450E+01  3.1454E+01  3.1127E+01  3.0520E+01  2.8089E+01  5.3693E-03  9.8070E-03 -1.1149E-05
  1.3501E+03  3.4308E+01  3.4313E+01  3.3986E+01  3.3382E+01  3.0970E+01  5.4283E-03  9.9361E-03 -1.1753E-05
  1.4499E+03  3.7281E+01  3.7285E+01  3.6959E+01  3.6358E+01  3.3963E+01  5.4865E-03  1.0063E-02 -1.2365E-05
  1.5486E+03  4.0261E+01  4.0265E+01  3.9940E+01  3.9341E+01  3.6963E+01  5.5421E-03  1.0185E-02 -1.2964E-05
  1.6454E+03  4.3224E+01  4.3229E+01  4.2904E+01  4.2307E+01  3.9945E+01  5.5950E-03  1.0300E-02 -1.3546E-05
